Mes;Precio interno;;;;;;;;;;;;;;;
mar-81;9.200;;;;;;;;;;;;;;;
abr-81;9.200;;;;;;;;;;;;;;;
may-81;9.200;;;;;;;;;;;;;;;
jun-81;9.200;;;;;;;;;;;;;;;
jul-81;9.200;;;;;;;;;;;;;;;
ago-81;9.200;;;;;;;;;;;;;;;
sep-81;9.460;;;;;;;;;;;;;;;
oct-81;9.800;;;;;;;;;;;;;;;
nov-81;10.242;;;;;;;;;;;;;;;
dic-81;10.330;;;;;;;;;;;;;;;
ene-82;10.330;;;;;;;;;;;;;;;
feb-82;10.330;;;;;;;;;;;;;;;
mar-82;10.795;;;;;;;;;;;;;;;
abr-82;11.050;;;;;;;;;;;;;;;
may-82;11.050;;;;;;;;;;;;;;;
jun-82;11.050;;;;;;;;;;;;;;;
jul-82;11.050;;;;;;;;;;;;;;;
ago-82;11.050;;;;;;;;;;;;;;;
sep-82;11.050;;;;;;;;;;;;;;;
oct-82;12.100;;;;;;;;;;;;;;;
nov-82;12.100;;;;;;;;;;;;;;;
dic-82;12.100;;;;;;;;;;;;;;;
ene-83;12.100;;;;;;;;;;;;;;;
feb-83;12.100;;;;;;;;;;;;;;;
mar-83;12.100;;;;;;;;;;;;;;;
abr-83;12.637;;;;;;;;;;;;;;;
may-83;12.800;;;;;;;;;;;;;;;
jun-83;12.800;;;;;;;;;;;;;;;
jul-83;12.800;;;;;;;;;;;;;;;
ago-83;12.800;;;;;;;;;;;;;;;
sep-83;13.570;;;;;;;;;;;;;;;
oct-83;13.924;;;;;;;;;;;;;;;
nov-83;14.150;;;;;;;;;;;;;;;
dic-83;14.344;;;;;;;;;;;;;;;
ene-84;14.400;;;;;;;;;;;;;;;
feb-84;14.400;;;;;;;;;;;;;;;
mar-84;14.516;;;;;;;;;;;;;;;
abr-84;14.800;;;;;;;;;;;;;;;
may-84;15.058;;;;;;;;;;;;;;;
jun-84;15.200;;;;;;;;;;;;;;;
jul-84;15.200;;;;;;;;;;;;;;;
ago-84;15.484;;;;;;;;;;;;;;;
sep-84;16.300;;;;;;;;;;;;;;;
oct-84;16.300;;;;;;;;;;;;;;;
nov-84;16.487;;;;;;;;;;;;;;;
dic-84;17.000;;;;;;;;;;;;;;;
ene-85;17.000;;;;;;;;;;;;;;;
feb-85;17.000;;;;;;;;;;;;;;;
mar-85;18.100;;;;;;;;;;;;;;;
abr-85;18.100;;;;;;;;;;;;;;;
may-85;18.221;;;;;;;;;;;;;;;
jun-85;19.350;;;;;;;;;;;;;;;
jul-85;19.350;;;;;;;;;;;;;;;
ago-85;19.437;;;;;;;;;;;;;;;
sep-85;20.700;;;;;;;;;;;;;;;
oct-85;20.700;;;;;;;;;;;;;;;
nov-85;22.533;;;;;;;;;;;;;;;
dic-85;23.617;;;;;;;;;;;;;;;
ene-86;26.008;;;;;;;;;;;;;;;
feb-86;30.000;;;;;;;;;;;;;;;
mar-86;36.605;;;;;;;;;;;;;;;
abr-86;37.875;;;;;;;;;;;;;;;
may-86;39.185;;;;;;;;;;;;;;;
jun-86;39.500;;;;;;;;;;;;;;;
jul-86;39.500;;;;;;;;;;;;;;;
ago-86;39.500;;;;;;;;;;;;;;;
sep-86;39.500;;;;;;;;;;;;;;;
oct-86;39.952;;;;;;;;;;;;;;;
nov-86;41.250;;;;;;;;;;;;;;;
dic-86;41.250;;;;;;;;;;;;;;;
ene-87;41.250;;;;;;;;;;;;;;;
feb-87;41.250;;;;;;;;;;;;;;;
mar-87;41.250;;;;;;;;;;;;;;;
abr-87;41.250;;;;;;;;;;;;;;;
may-87;41.250;;;;;;;;;;;;;;;
jun-87;41.250;;;;;;;;;;;;;;;
jul-87;41.250;;;;;;;;;;;;;;;
ago-87;41.250;;;;;;;;;;;;;;;
sep-87;41.250;;;;;;;;;;;;;;;
oct-87;42.581;;;;;;;;;;;;;;;
nov-87;44.000;;;;;;;;;;;;;;;
dic-87;44.000;;;;;;;;;;;;;;;
ene-88;44.784;;;;;;;;;;;;;;;
feb-88;46.700;;;;;;;;;;;;;;;
mar-88;46.700;;;;;;;;;;;;;;;
abr-88;48.387;;;;;;;;;;;;;;;
may-88;49.000;;;;;;;;;;;;;;;
jun-88;49.000;;;;;;;;;;;;;;;
jul-88;49.000;;;;;;;;;;;;;;;
ago-88;49.000;;;;;;;;;;;;;;;
sep-88;49.000;;;;;;;;;;;;;;;
oct-88;51.129;;;;;;;;;;;;;;;
nov-88;55.000;;;;;;;;;;;;;;;
dic-88;55.000;;;;;;;;;;;;;;;
ene-89;55.000;;;;;;;;;;;;;;;
feb-89;55.000;;;;;;;;;;;;;;;
mar-89;55.658;;;;;;;;;;;;;;;
